chr1	0	228329052	248956422	0.917145
chr1	1	20627370	248956422	0.0828553
chr10	0	123024486	133797422	0.919483
chr10	1	10772936	133797422	0.0805168
chr11	0	126678274	135086622	0.937756
chr11	1	8408348	135086622	0.0622441
chr12	0	125913869	133275309	0.944765
chr12	1	7361440	133275309	0.0552348
chr13	0	109014829	114364328	0.953224
chr13	1	5349499	114364328	0.0467759
chr14	0	102206009	107043718	0.954806
chr14	1	4837709	107043718	0.0451938
chr15	0	94951350	101991189	0.930976
chr15	1	7039839	101991189	0.069024
chr16	0	81212853	90338345	0.898985
chr16	1	9125492	90338345	0.101015
chr17	0	76787181	83257441	0.922286
chr17	1	6470260	83257441	0.0777139
chr18	0	75810902	80373285	0.943235
chr18	1	4562383	80373285	0.0567649
chr19	0	53958163	58617616	0.920511
chr19	1	4659453	58617616	0.079489
chr2	0	227044754	242193529	0.937452
chr2	1	15148775	242193529	0.0625482
chr20	0	60355410	64444167	0.936553
chr20	1	4088757	64444167	0.0634465
chr21	0	44450300	46709983	0.951623
chr21	1	2259683	46709983	0.0483769
chr22	0	47713631	50818468	0.938903
chr22	1	3104837	50818468	0.0610966
chr3	0	183488178	198295559	0.925327
chr3	1	14807381	198295559	0.0746733
chr4	0	181589940	190214555	0.954658
chr4	1	8624615	190214555	0.0453415
chr5	0	171315920	181538259	0.94369
chr5	1	10222339	181538259	0.0563096
chr6	0	155524942	170805979	0.910536
chr6	1	15281037	170805979	0.0894643
chr7	0	150528327	159345973	0.944664
chr7	1	8817646	159345973	0.0553365
chr8	0	137142181	145138636	0.944905
chr8	1	7996455	145138636	0.0550953
chr9	0	130570003	138394717	0.943461
chr9	1	7824714	138394717	0.0565391
chrM	1	16569	16569	1
chrX	0	146286375	156040895	0.937487
chrX	1	9754520	156040895	0.0625126
chrY	0	57227415	57227415	1
genome	0	2891124344	3088286401	0.936158
genome	1	197162057	3088286401	0.0638419
