chr1	0	230242350	248956422	0.92483
chr1	1	18714072	248956422	0.0751701
chr10	0	122846155	133797422	0.91815
chr10	1	10951267	133797422	0.0818496
chr11	0	126326134	135086622	0.935149
chr11	1	8760488	135086622	0.0648509
chr12	0	124990013	133275309	0.937833
chr12	1	8285296	133275309	0.0621668
chr13	0	107602805	114364328	0.940877
chr13	1	6761523	114364328	0.0591227
chr14	0	101687750	107043718	0.949965
chr14	1	5355968	107043718	0.0500353
chr15	0	94581104	101991189	0.927346
chr15	1	7410085	101991189	0.0726542
chr16	0	81612954	90338345	0.903414
chr16	1	8725391	90338345	0.0965857
chr17	0	75050248	83257441	0.901424
chr17	1	8207193	83257441	0.0985761
chr18	0	75461644	80373285	0.93889
chr18	1	4911641	80373285	0.0611104
chr19	0	54368352	58617616	0.927509
chr19	1	4249264	58617616	0.0724912
chr2	0	224916689	242193529	0.928665
chr2	1	17276840	242193529	0.0713349
chr20	0	58285983	64444167	0.904442
chr20	1	6158184	64444167	0.0955584
chr21	0	44289403	46709983	0.948179
chr21	1	2420580	46709983	0.0518215
chr22	0	46492533	50818468	0.914875
chr22	1	4325935	50818468	0.0851253
chr3	0	182869587	198295559	0.922207
chr3	1	15425972	198295559	0.0777928
chr4	0	182678179	190214555	0.96038
chr4	1	7536376	190214555	0.0396204
chr5	0	170363287	181538259	0.938443
chr5	1	11174972	181538259	0.0615571
chr6	0	159621712	170805979	0.934521
chr6	1	11184267	170805979	0.0654794
chr7	0	145390091	159345973	0.912418
chr7	1	13955882	159345973	0.0875823
chr8	0	136604113	145138636	0.941197
chr8	1	8534523	145138636	0.0588026
chr9	0	129069766	138394717	0.932621
chr9	1	9324951	138394717	0.0673794
chrX	0	139732310	156040895	0.895485
chrX	1	16308585	156040895	0.104515
chrY	0	57227415	57227415	1
chrM	0	16569	16569	1
genome	0	2872327146	3088286401	0.930071
genome	1	215959255	3088286401	0.0699285
